action,timestamp
End sale period,2026-05-10T13:26:07.018731280
Filter products,2026-05-10T13:27:17.729027012
Filter products,2026-05-10T13:27:30.616842869
Export CSV,2026-05-10T13:27:55.042301462
View sale period info,2026-05-10T13:28:41.330396762
Add product,2026-05-10T14:01:24.805958362
Filter products,2026-05-10T14:01:40.765056408
View sale period info,2026-05-11T13:03:01.528232828
Start sale period,2026-05-11T13:03:30.829852107
Sell product,2026-05-11T13:03:47.331118509
View sale period info,2026-05-11T13:03:52.118942182
Export CSV,2026-05-11T13:04:15.625189559
